,Name,Id,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
23,Your Disease - 2021 Version,25DAo7YTKFqdyxQftKF0Oe,2021,0.367,0.941,6,-4.033,1,0.067,1.41e-05,1.34e-06,0.385,0.678,159.985
24,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,2021,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
25,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,2021,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.681,95.098
26,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,2021,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088
27,Click Click Boom - 2021 Version,1pMPy92XESaLhqRq0Lr0n6,2021,0.427,0.905,6,-4.311,1,0.0569,9.25e-06,1.73e-05,0.0953,0.805,192.01
28,deja vu,6HU7h9RYOaPRFeh0R3UeAr,2021,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917
29,Mack of the Year 2k21,2n3IS3vf4otxdV352ZiKEG,2021,0.649,0.6,1,-8.697,0,0.12,0.0807,0.846,0.398,0.445,177.752
30,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,2021,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006
31,"New Year's Day - Live From Red Rocks Amphitheatre, Colorado, USA / 1983 / Remastered 2021",6tBQZFVP2nvhUfc6gMQjF0,2021,0.346,0.905,8,-7.508,0,0.0457,0.0253,0.0318,0.987,0.221,139.166
32,"1 step forward, 3 steps back",4wcBRRpIfesgcyUtis7PEg,2021,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884
33,Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,2021,0.388,0.195,6,-14.857,1,0.0339,0.933,3.97e-06,0.0989,0.321,133.152
34,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,2021,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929
35,2021’s Our Year,7pTHcxxysb40K46vleyFZa,2021,0.698,0.515,9,-6.982,0,0.349,0.828,1.17e-06,0.0877,0.188,67.91
36,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,2021,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021
37,Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,2021,0.773,0.859,2,-6.459,1,0.0573,0.0044,0.00711,0.117,0.577,159.955
38,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,2021,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
39,Rubish,0u7vHkZJtxjSP65kf0yZOA,2021,0.852,0.981,8,-15.388,0,0.104,0.0409,0.851,0.097,0.105,120.077
40,Miss The Rage (feat. Playboi Carti),2BITQ360Knh6qNAOqR7Dyq,2021,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005
41,Funky New Year - 2013 Remaster,7tJS1cjSD1P8bodNGblYiK,2021,0.657,0.538,9,-10.34,1,0.0591,0.0544,0.0343,0.332,0.785,90.81
42,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,2021,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967
43,Poker Face,4liFTpYparE2zEUp2GfG64,2021,0.851,0.818,4,-4.637,1,0.0789,0.112,2.94e-06,0.0945,0.808,119.006
44,hope ur ok,1zejeOnykpCoyVSit6Bwp3,2021,0.443,0.298,0,-12.181,1,0.0644,0.388,1e-05,0.103,0.172,77.253
45,29 Years - 2021 Remaster,7BeCxon082GMTXsHjzx7MS,2021,0.509,0.288,0,-22.773,1,0.151,0.888,0.461,0.322,0.123,140.626
46,drivers license,7lPN2DXiMsVn7XUKtOW1CS,2021,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874
47,Guilt,5uMnRbSAnanjzB6o8M1moT,2021,0.805,0.388,6,-9.806,0,0.339,0.898,0.883,0.105,0.169,80.006
48,drivers license,5wANPM4fQCJwkGd4rN57mH,2021,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
49,Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,2021,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287
50,a m a r i,2cnKST6T9qUo2i907lm8zX,2021,0.725,0.713,4,-6.173,0,0.187,0.127,0.0,0.617,0.207,65.988
51,Mysterious Ambience for 2021,7JbCtHITcxozCi7ToiRl9O,2021,0.827,0.0163,4,-20.922,1,0.0845,0.981,0.953,0.0923,0.0695,134.198
52,Best Friend (feat. Doja Cat),2etHQJxIbV0soyPhelVs9Y,2021,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018
53,Wasted Years - 2015 Remaster,2V0T2LS0pf2r3EFpOEkZFO,2021,0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221
54,Your Power,5qNh5WtzMbfpSj2jLlBkoD,2021,0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65
55,Das Boot - 2021 Remastered,64bt6qmrxlfzPean113phZ,2021,0.439,0.448,2,-12.414,0,0.0252,0.188,0.901,0.129,0.121,75.044
56,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,2021,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949
57,Smile Year 2020 Pick up Line,2Uj2Vz9s4vcGSmiiiqWADs,2021,0.756,0.131,7,-13.284,1,0.0467,0.766,0.0,0.136,0.307,79.9
58,Up,1XXimziG1uhM0eDNCZCrUl,2021,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0
59,Clay Man,0KCTON98BXLtkScCe5rjH3,2021,0.526,0.333,7,-8.913,0,0.23,0.867,0.767,0.265,0.396,106.148
60,Solid (feat. Drake),6rTInqW3YECMkQsBEHw4sd,2021,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987
61,Five Years - 2012 Remaster,1JIzFhI9Lt5FyslawmHCBi,2021,0.46,0.326,7,-10.699,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531
62,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,2021,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931
63,The Loveliest Night Of The Year - 2017 Version,1R9zW8DFjW6NLDjrlKwCyN,2021,0.181,0.16,5,-14.428,1,0.0318,0.923,4.19e-05,0.272,0.215,83.181
64,What’s Next,3aQem4jVGdhtg116TmJnHz,2021,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895
65,Class Clown,6boq49pDPahzW87mWz0GOZ,2021,0.753,0.852,1,-11.188,1,0.0545,0.0167,0.729,0.0981,0.86,119.906
66,Headshot (feat. Polo G & Fivio Foreign),4eNOLmx8r2IJAVKvBBL1jv,2021,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0
67,Ah Yeah!! - 2020 Remaster,1EryXVV7xCH10UeVvF3RMB,2021,0.472,0.943,8,-4.478,1,0.0474,0.00277,1.95e-06,0.0372,0.507,139.916
68,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,2021,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007
69,Crazy Car,4PhvB1Oz0ZH05ogYSbFeKU,2021,0.668,0.687,8,-11.296,1,0.0426,0.302,0.716,0.105,0.862,120.057
70,Never Left,21UkXrc9kD48rNpTMI2ecz,2021,0.807,0.659,11,-6.92,1,0.332,0.0224,0.0,0.309,0.438,82.465
71,Cowboy,2Pa2jZHk4VQsEThHp7Ido3,2021,0.626,0.0588,7,-14.245,0,0.0652,0.81,0.953,0.475,0.512,119.948
72,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,2021,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917
73,No Turning Back,60Io4WgGItlIhtDP5SPaB8,2021,0.602,0.532,5,-9.396,1,0.135,0.108,0.785,0.224,0.514,170.112
74,Yonaguni,2JPLbjOn0wPCngEot2STUS,2021,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951
75,My Dear,4DwRpHZ8XeWkbXn1lFEvBK,2021,0.654,0.146,6,-15.968,0,0.0843,0.598,0.935,0.11,0.338,124.011
76,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,2021,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062
77,Daredevil,12oCf8psxoCNrYVLUDmbbw,2021,0.321,0.948,4,-7.775,1,0.0733,1.2e-06,0.834,0.103,0.309,170.098
78,9 5 . s o u t h,5R691ipUYRDYW6ehapjoj6,2021,0.713,0.793,2,-5.277,1,0.397,0.271,0.0,0.727,0.203,71.724
79,Techno Fest Feel,3VdcynlQas7s45groIg5mk,2021,0.679,0.887,2,-8.278,1,0.0373,0.0266,0.822,0.16,0.604,125.997
80,Ramen & OJ,4TIqzdAssasqx3DAe6cG9J,2021,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196
81,Getting Ready,0YSo6HHLJl9HZ6RRO60esh,2021,0.72,0.626,2,-10.568,1,0.0395,0.000178,0.918,0.124,0.332,99.994
82,734,6vB8bdQCCTDDIH8fhRfuXA,2021,0.663,0.545,2,-3.93,0,0.036,0.123,0.0,0.106,0.344,78.452
83,Sports Highlights,5aUreD90JTSYx5d8s2jjON,2021,0.586,0.696,4,-7.776,1,0.0557,0.0278,0.966,0.186,0.749,125.203
84,Run It Up (feat. Offset & Moneybagg Yo),1dg3qy5DjoJodawfOCgrTP,2021,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031
85,Infected Vibes,34JXjXWzncy4kD1jw6NVnH,2021,0.651,0.997,1,-6.912,1,0.0407,3.9e-06,0.852,0.296,0.556,139.999
86,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,2021,0.849,0.701,6,-4.407,0,0.06,0.407,0.0,0.112,0.505,98.005
87,Breathe,71v09OflvBMGwSrSnOkyxq,2021,0.746,0.486,10,-7.004,1,0.0344,0.222,1.38e-06,0.123,0.417,92.018
88,GANG GANG (with Lil Wayne),4VW44pawoOHPUjlN7DX5vk,2021,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05
89,Doubt (2021 Remaster),2jR8DJ2Fw4zajCym6cjiik,2021,0.416,0.904,9,-5.447,1,0.0915,6.82e-05,1.77e-06,0.09,0.344,111.117
90,i n t e r l u d e,08LwMWf5Tcfsd752EPzFV0,2021,0.77,0.574,1,-5.525,1,0.106,0.0617,0.0,0.104,0.104,98.962
91,A Thousand Years,4TcnMCz0d27SsDNihYqFxW,2021,0.423,0.407,10,-7.45,1,0.0267,0.312,0.000961,0.11,0.161,139.048
92,4 Da Gang (with Roddy Ricch),4KIkADzoVm3A10E9qyjsQ5,2021,0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482
93,"Boom, Roasted (2021 Remaster)",2QRua8VZhbsHs5rPqXUxL6,2021,0.395,0.833,0,-5.3,0,0.178,0.00109,0.0,0.482,0.567,108.573
94,Hats Off (feat. Travis Scott),4lUmnwRybYH7mMzf16xB0y,2021,0.596,0.65,9,-5.167,1,0.337,0.138,0.0,0.14,0.188,133.997
95,Blender - Re-Touched 2021,5TCngtrmHsNnoqnkfx4NnM,2021,0.634,0.886,2,-9.054,1,0.0443,0.00135,0.0285,0.571,0.255,120.116
96,Voice of the Heroes,7eO7rOwH5qVD3UWpO97qTI,2021,0.754,0.661,0,-6.811,1,0.261,0.173,0.0,0.16,0.313,82.988
97,"It's Christmas, You Are 13 Years Old and Happy",4viQSBJ8rdw7ix4lHUYMKp,2021,0.676,0.555,7,-12.511,1,0.0489,0.0303,0.907,0.205,0.72,163.951
98,drivers license,4ZYuxUrOTyeRY6Mp1tvTSq,2021,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874
99,"Neue Melodien-Quadrille, Op. 254",4uaWclMPHnWjm9YVGytlAS,2021,0.49,0.311,10,-16.749,1,0.0453,0.915,0.835,0.171,0.421,123.434
100,"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""",0nZkXIhuH183AKwF1LAZUy,2021,0.678,0.241,0,-13.686,1,0.0321,0.905,0.0,0.11,0.647,90.976
101,Breathe,1YqRxaBc1qOC0a82ZcPz0q,2021,0.746,0.486,10,-7.004,1,0.0344,0.222,1.38e-06,0.123,0.417,92.018
102,"Granted - From ""High School Musical: The Musical: The Series (Season 2)""",71JGK9HPfjQNtKq5AhgbTg,2021,0.577,0.602,9,-5.711,0,0.0306,0.132,0.0,0.295,0.23,84.978
103,Through Being Crucial (2021 Remaster),1jwmYI1kdJGRfbwrHP8eqh,2021,0.369,0.773,1,-5.416,1,0.0512,0.000171,0.0,0.33,0.417,104.969
104,Lucid Dreams (feat. Lil Uzi Vert) - Remix,4iHMpfDjapiXaYUv41Ssvq,2021,0.443,0.579,6,-6.517,0,0.187,0.125,0.0,0.284,0.256,83.827
105,"Mt. Chill, You're Climbin' (2021 Remaster)",7zXnceW3kadhsi095get1f,2021,0.351,0.877,4,-6.508,1,0.0513,8.83e-06,0.627,0.739,0.247,108.519
106,SUN GOES DOWN,34eF4BoV8FPk0uhAAoqU7h,2021,0.551,0.636,2,-6.798,1,0.054,0.0837,4.28e-06,0.112,0.148,174.065
107,Houdini - Re-Edited 2021,6tKD8SikTunrPyYloyNg6X,2021,0.63,0.928,7,-10.108,1,0.0469,0.00217,0.0839,0.102,0.781,134.996
108,Ski,6755DFiZ7CWe2WMdTGW5C1,2021,0.953,0.621,8,-7.638,0,0.221,0.017,0.0,0.0398,0.883,123.016
109,Contour (2021 Remaster),3LglxOQujArGqNayVJfQxd,2021,0.347,0.842,2,-6.347,1,0.0896,0.000101,0.0,0.154,0.207,104.778
110,Dick (feat. Doja Cat),3nY8AqaMNNHHLYV4380ol0,2021,0.647,0.608,9,-6.831,1,0.42,0.13,0.0,0.0584,0.474,125.994
111,Night Train - Re-Edited 2021,1PnJPZpUCBZx1x2Lw6JVm8,2021,0.655,0.954,6,-11.014,0,0.0419,0.0578,0.727,0.0699,0.486,131.622
112,Lost Cause,2xdwCJLfKCkat14mlgR26M,2021,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051
113,61 Penn (2021 Remaster),38p68a1uPsCjLp0t4nJ4HC,2021,0.321,0.888,11,-5.297,1,0.151,0.000344,0.0,0.293,0.613,100.407
114,Todo De Ti,4fSIb4hdOQ151TILNsSEaF,2021,0.808,0.626,3,-4.577,0,0.0353,0.397,0.00584,0.102,0.569,127.955
115,"Frühlingsstimmen, Walzer, Op. 410",5zZbXSRIFe1uWNmEM7f2XI,2021,0.219,0.0855,0,-19.703,0,0.0404,0.974,0.922,0.355,0.156,171.849
116,"YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version",7kykl0pcJjoDhuL9Minuh9,2021,0.627,0.19,0,-12.525,1,0.0992,0.902,0.0,0.268,0.665,108.571
117,"Small, Bent and Ugly (2021 Remaster)",5uFXoQPmuYVkwC8fgEt44Y,2021,0.359,0.808,4,-5.805,1,0.083,0.000484,0.0,0.145,0.494,107.654
118,l e t . g o . m y . h a n d (with Bas & 6LACK),0GAyuCo975IHGxxiLKDufB,2021,0.583,0.625,1,-8.011,1,0.277,0.506,0.0,0.196,0.516,89.812
119,On Leaving (2021 Remaster),2kCQ6uef9ZZPttWLsoJqP9,2021,0.243,0.828,4,-5.836,1,0.138,0.000251,1.23e-06,0.0653,0.193,197.558
120,Straightenin,3X2r2CnHOJeV5YekPTgBnK,2021,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976
121,Mad Nice (2021 Remaster),0CxuwJN14HAmT719aiTq4G,2021,0.149,0.697,4,-6.528,1,0.0545,9.64e-06,0.459,0.163,0.312,151.828
122,a p p l y i n g . p r e s s u r e,1d7q712nXjG98HiwHk7HFS,2021,0.699,0.759,1,-5.302,1,0.311,0.0814,0.0,0.312,0.404,83.092
123,Give 'Em The Howard (2021 Remaster),6K2Cn9xFxBipDdruwokCrN,2021,0.293,0.806,7,-5.68,1,0.103,0.000413,1.45e-06,0.156,0.319,88.083
124,We're Good,1diS6nkxMQc3wwC4G1j0bh,2021,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01
125,Year in the Sun,7wrV2RVos1qyLDZxhAS2qk,2021,0.66,0.758,9,-7.117,1,0.0277,0.0136,0.000743,0.242,0.566,112.999
126,1 0 0 . m i l ‘ (with Bas),4n6NDfYake476trCjJRNl0,2021,0.711,0.647,2,-5.667,0,0.0822,0.334,0.0,0.312,0.227,125.092
127,Friendly New Years Resolutions,0L4TNsqjUesPdoz6HwY1s1,2021,0.618,0.0196,9,-20.849,0,0.121,0.988,0.891,0.126,0.0656,96.352
128,t r a n s p a r e n t s o u l feat. Travis Barker,1QL7nSDZCwZMnbisV4KOXt,2021,0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021
129,Fatinitza-Marsch,7v1zk76XQqz6F411INMEe3,2021,0.662,0.401,7,-13.296,1,0.0388,0.941,0.905,0.288,0.669,117.287
130,Hold On,4u4NyuceXP7Uzh7XFJKCr1,2021,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98
131,Desire - Gryffin Remix,1xhkexZbRu77gyw6cMiGqn,2021,0.543,0.875,10,-5.069,0,0.0514,0.0622,0.0,0.157,0.415,122.058
132,2040,2ELp0EL65yitpfJYwc5983,2021,0.744,0.697,11,-4.067,1,0.136,0.0415,0.0,0.112,0.238,150.046
133,Tết: Vietnamese New Year Celebrations,13NWA8Q5Jhd2T0oAshsiqb,2021,0.361,0.0929,1,-15.0,0,0.037,0.95,0.797,0.106,0.0989,79.678
134,Still Runnin (feat. Meek Mill),5cAN3P7jWVf78gev1eF7TJ,2021,0.856,0.727,2,-5.616,1,0.277,0.013,0.0,0.117,0.286,146.044
135,i still remember toronto,5jNWFTEa6WYX04E5XRgSVt,2021,0.483,0.259,6,-14.275,1,0.0633,0.713,0.821,0.102,0.0386,77.123
136,Wockesha,0nqhKXDjsyBMvbeWmgijD0,2021,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103
137,"Kaiserwalzer, Op. 437",4tV2GAiMdElyGG9Koz3sQd,2021,0.19,0.06,0,-18.481,1,0.0371,0.973,0.875,0.154,0.0747,179.934
138,Who I Want,3vJKLsUYcC7mARUTOMUPaJ,2021,0.77,0.561,10,-4.97,0,0.083,0.14,0.0,0.123,0.81,145.928
139,Fith Year Celebration (2021 Remaster),0ByplozzntXq1baopBMcU1,2021,0.791,0.366,0,-15.874,1,0.268,0.634,0.93,0.0967,0.483,79.997
140,Up The Side (feat. Young Thug),2L6lh2RmMs1yz4FQzdbwOn,2021,0.644,0.563,0,-9.814,0,0.159,0.0518,0.0,0.179,0.339,160.106
141,Sultry Ambiance for 2021,5NR2UScCobzDg4zpbZYIel,2021,0.0,0.00654,5,-22.296,0,0.0,0.992,0.85,0.113,0.0,0.0
142,How It Feels,62nb5YUYUqtYJhVPwRhCke,2021,0.788,0.628,11,-5.746,0,0.12,0.00715,0.0,0.132,0.479,104.083
143,Years,2dx3YV0AhsygULQ2ojYVq0,2021,0.362,0.858,2,-3.92,1,0.0743,0.00211,1.3e-06,0.25,0.282,127.891
144,Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,2021,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861
145,Grubenlichter-Walzer,7nWICHrOpq4mNelpzvfW8j,2021,0.293,0.161,5,-16.573,1,0.0324,0.952,0.926,0.0477,0.209,97.923
146,Still Hood,1huoY7hw3hGVGfuPPe9y8P,2021,0.742,0.701,1,-5.92,1,0.21,0.0821,0.0,0.116,0.178,137.951
147,"Radetzky-Marsch, Op. 228",316AyasQmOic6W2zM8rYlw,2021,0.642,0.391,9,-13.798,1,0.0324,0.94,0.943,0.0696,0.711,101.38
148,Man of my Word,4nNw167LUp6j2VvuJdbtv8,2021,0.789,0.609,1,-5.969,1,0.174,0.0439,0.0,0.178,0.0816,136.001
149,Dichter und Bauer: Ouvertüre,4vircrVSGNJsFavtLUF29K,2021,0.233,0.131,2,-15.626,1,0.0411,0.947,0.928,0.0903,0.1,149.727
150,Beat Box 3 (feat. DaBaby),6toQdWWc4noiOk3Eo5mVDS,2021,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051
151,Blinding Lights (Cardio + Running Workout Mix),1qo6ZFJzZ3fah2owpZltHS,2021,0.694,0.952,8,-1.686,1,0.179,0.0342,0.21,0.0774,0.962,135.476
152,Voice of the Heroes,3E3pb3qH11iny6TFDJvsg5,2021,0.754,0.66,0,-6.811,1,0.267,0.179,0.0,0.194,0.316,83.0
153,"An der schönen blauen Donau, Walzer, Op. 314",7Lq7lV5MVDduhkRmqP9W4s,2021,0.269,0.0833,2,-18.492,1,0.0347,0.973,0.908,0.0673,0.106,94.013
154,Okay,3jweuceENR5zzn10LhcjPH,2021,0.89,0.674,11,-5.45,0,0.318,0.107,0.0,0.111,0.248,134.028
155,"Niko-Polka, Op. 228",4FWUPPBsg82IsojhIcAP0v,2021,0.5,0.339,7,-16.881,0,0.0497,0.942,0.914,0.111,0.272,81.163
156,Lying,5LtzwqIWPXKEYfVcaY3bjc,2021,0.741,0.892,10,-4.225,0,0.304,0.172,0.0,0.126,0.56,159.088
157,"Schallwellen, Walzer, Op. 148",5ZH6LpaSV0rmkr6RkLngqI,2021,0.316,0.108,0,-18.232,1,0.0375,0.936,0.859,0.0785,0.188,101.673
158,Medical,5BCzsnN4U4OvOegjErHTUF,2021,0.763,0.798,2,-4.692,1,0.397,0.0555,0.0,0.116,0.482,77.987
159,"Bad'ner Mad'ln, Walzer, Op. 257",1aDvlKtvTA8SJqBbGL7Nyw,2021,0.345,0.135,2,-16.442,1,0.0313,0.957,0.878,0.0927,0.249,97.238
160,That's Facts,6dug6dIV40JMz2myhafHrm,2021,0.884,0.577,1,-4.716,1,0.319,0.0843,0.0,0.0602,0.854,137.032
161,New Year 2021,0QdTYExlsPJxj1lkPVwNMg,2021,0.724,0.466,4,-9.26,0,0.164,0.242,0.0134,0.102,0.617,89.922
162,Rich Off Pain (feat. Rod Wave),6MSyik7EzWsHQjTOPLFBrr,2021,0.469,0.613,11,-6.556,1,0.335,0.0747,0.0,0.205,0.135,72.434
163,2021 (Graduation Year),6JCEIGoAJdMthmvgBn3aNE,2021,0.769,0.434,4,-9.257,1,0.164,0.704,4.89e-05,0.183,0.93,145.03
164,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,2021,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0
165,Somewhere,4oZOPr3QEHpJf1Vj6PngLm,2021,0.837,0.263,2,-12.108,1,0.0618,0.802,0.864,0.106,0.624,124.025
166,Please,3zWR0zS9p39c0FVkYkHfVF,2021,0.677,0.634,7,-6.231,1,0.335,0.228,0.0,0.131,0.496,90.268
167,New Year Raindrops,7oMfF58drUVfqVZlqyGADt,2021,0.146,0.999,0,-25.266,1,0.0417,0.94,0.745,0.978,1e-05,66.706
